Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
MPC25-001-013,9,3167.292867,17.66229287,93.90168553,16.85501552,7.532973561,6.867390604,0,35,6.9
MPC25-001-013,10,3848.366246,17.22844417,92.29067233,17.9755324,9.634853176,7.239247523,0.037833861,35,6.9
MPC25-001-013,11,4601.02541,16.73676308,90.93646129,18.64002536,11.79968551,8.415228861,0,35,6.9
MPC25-001-013,12,5448.555426,15.84816663,89.23486338,19.04194938,14.19402299,9.998897515,0.034067647,35,6.9
MPC25-001-013,13,6358.838349,15.47275973,87.81692692,18.9527319,16.56486169,11.47302091,0,35,6.9
MPC25-001-013,14,7323.823255,14.96749633,85.95708856,19.00391692,19.157494,12.27017339,0,35,6.9
MPC25-001-014,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-014,1,41.03482888,3.023799092,98.91284811,15.32043123,1.145529209,3.071631697,0,36.5,7.3
MPC25-001-014,2,69.57200209,4.905319521,99.20830706,15.37882373,1.584763573,3.343106706,0,36.5,7.3
MPC25-001-014,3,183.6525625,7.086911055,99.44742162,15.5564088,2.046520744,3.807432023,0.042434169,36.5,7.3
MPC25-001-014,4,417.7974792,10.18730504,99.92406085,15.54929714,2.232193732,4.476601189,0,36.5,7.3
MPC25-001-014,5,803.4733685,13.34705253,99.82191001,15.72840509,2.452335355,5.31528697,0,36.5,7.3
MPC25-001-014,6,1318.154315,16.70038322,99.54644021,15.86570876,2.758370551,6.510502243,0.053031757,35,7.3
MPC25-001-014,7,2052.887464,19.44182942,99.20330928,15.57201167,2.748483258,6.682268078,0,35,7.3
MPC25-001-014,8,2801.44874,21.04256373,97.94570457,16.05447773,3.285958138,6.329160068,0.053633643,35,7.3
MPC25-001-014,9,3555.789138,22.29663656,96.73320663,16.66553862,3.966900166,6.049709698,0,35,7.3
MPC25-001-014,10,4360.726486,22.19956948,94.67833315,17.60647154,5.049790278,6.169000815,0.048951202,35,7.3
MPC25-001-014,11,5206.031253,21.93501617,92.80706016,18.07714669,6.072921787,6.85054513,0,35,7.3
MPC25-001-014,12,6102.271233,20.81620232,90.31555612,18.41771852,7.301650948,7.725006915,0.0438877,35,7.3
MPC25-001-014,13,6999.775239,19.8551531,88.04756025,18.27561383,8.410664765,8.396096401,0,35,7.3
MPC25-001-014,14,7883.180797,18.18904349,85.14976203,18.30915442,9.691179578,8.369445436,0,35,7.3
MPC25-001-015,0,75.02,0.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-015,1,-29.94716902,1.643348696,99.03556353,15.33272593,1.395424612,3.056087036,0,36.5,7.3
MPC25-001-015,2,-80.45450744,3.173001737,99.51739782,15.42047675,2.115300136,3.318998379,0,36.5,7.3
MPC25-001-015,3,-47.86626862,5.060363817,100.0052096,15.63488737,2.873796213,3.798860422,0.032369717,36.5,7.3
MPC25-001-015,4,105.6405312,7.812527435,100.7157977,15.70811177,3.42688864,4.547770041,0,35,7.3
MPC25-001-015,5,490.3588394,9.274980964,100.7238132,15.78574571,3.879187531,4.372531665,0,35,7.3
MPC25-001-015,6,878.4242621,10.23711426,100.4791412,16.28911481,4.646037512,4.061856319,0.040602245,35,7.3
MPC25-001-015,7,1308.64265,11.24259427,100.3100165,16.80543987,5.36639597,3.935831514,0,35,7.3
MPC25-001-015,8,1822.98651,11.59806853,99.51023735,17.47904428,6.203576817,4.154419647,0.041278175,35,7.3
MPC25-001-015,9,2417.454831,12.26804628,98.8347276,17.72480858,6.768845058,4.725494349,0,35,7.3
MPC25-001-015,10,3101.884976,12.58969323,97.52983567,17.90486922,7.293616005,5.300373141,0.037833861,35,7.3
MPC25-001-015,11,3837.885284,13.31495283,96.24414133,17.7517,7.498525094,5.594394178,0,35,7.3
MPC25-001-015,12,4617.447748,13.59351822,94.19282347,17.80640769,7.626231982,5.290863454,0.034067647,35,7.3
MPC25-001-015,13,5408.565737,13.90847296,91.89809022,17.85264857,7.368135859,4.386106728,0,35,7.3
MPC25-001-015,14,6220.537464,13.43773266,88.62688677,18.22599697,6.803879019,2.908895516,0,35,7.3
MPC25-001-016,0,75.02,0.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-016,1,-29.94716902,1.643348696,99.03556353,15.33272593,1.395424612,3.056087036,0,36.5,7.3
MPC25-001-016,2,-80.45450744,3.173001737,99.51739782,15.42047675,2.115300136,3.318998379,0,36.5,7.3
MPC25-001-016,3,-47.86626862,5.060363817,100.0052096,15.63488737,2.873796213,3.798860422,0.042434169,36.5,7.3
MPC25-001-016,4,108.482983,7.958533134,100.7885728,15.66145197,3.356074853,4.51487901,0,35,7.3
MPC25-001-016,5,502.8096185,9.501735398,100.7482132,15.75452238,3.733262785,4.257434732,0,35,7.3
MPC25-001-016,6,900.930436,10.50949984,100.4296501,16.28562497,4.414004291,3.877083757,0.053031757,35,7.3
MPC25-001-016,7,1346.076833,11.71057448,100.2555454,16.76278173,4.941728575,3.671157843,0,35,7.3
MPC25-001-016,8,1884.491942,12.16124414,99.28591802,17.44941902,5.557147409,3.773875243,0.053633643,35,7.3
MPC25-001-016,9,2505.450655,13.04864677,98.48731696,17.64023252,5.777460993,4.205529219,0,35,7.3
MPC25-001-016,10,3221.068465,13.45186033,96.87530532,17.81557731,5.911901748,4.592208449,0.048951202,35,7.3
MPC25-001-016,11,3983.787442,14.3193311,95.30359068,17.59261603,5.59639359,4.66624279,0,35,7.3
MPC25-001-016,12,4785.033785,14.56249226,92.78512827,17.61567386,5.143721402,4.087943865,0.0438877,35,7.3
